Age,Breed1,Breed2,Gender,Color1,Color2,MaturitySize,Vaccinated,FurLength,Dewormed,Sterilized,Health,Quantity,AdoptionSpeed,AdoptionSpeedBinary,StatusPred
108,152,0,1,1,2,2,1,1,1,1,1,1,4,1,1
2,307,0,2,1,2,2,1,2,1,2,1,1,3,1,1
7,307,0,2,2,0,2,1,1,1,2,1,1,3,1,1
2,307,0,2,1,2,2,3,2,3,2,1,1,2,0,0
3,307,0,3,1,2,2,2,1,2,2,1,3,1,0,0
36,307,0,1,2,0,3,1,2,1,1,1,1,4,1,1
12,307,0,1,2,3,2,1,2,1,1,1,1,4,1,1
8,264,266,1,3,4,3,2,1,1,2,1,1,2,0,0
96,152,0,1,2,0,1,1,1,3,2,1,1,2,0,0
9,264,276,1,5,0,2,1,3,1,1,1,1,3,1,1
7,285,248,1,1,7,2,2,3,1,2,1,1,1,0,0
2,307,0,2,1,2,2,2,2,2,2,1,1,4,1,1
1,307,307,2,2,0,2,2,1,2,1,1,1,1,0,0
1,266,0,1,6,7,1,2,1,1,2,1,1,4,1,1
12,307,0,1,1,2,2,1,1,1,1,1,1,4,1,1
3,266,0,1,2,7,1,2,1,2,2,1,1,2,0,0
2,307,0,3,1,2,2,1,1,1,2,1,5,4,1,1
2,265,0,3,1,2,1,2,2,2,2,1,5,2,0,0
17,307,0,2,4,5,2,1,1,1,3,1,1,4,1,1
36,307,213,1,3,0,1,1,2,1,1,1,1,4,1,1
30,266,0,3,6,7,2,1,1,1,1,1,2,4,1,1
3,266,248,2,2,5,1,2,1,2,2,1,1,3,1,1
3,307,189,1,1,2,2,2,1,2,2,1,1,2,0,0
1,266,0,3,1,6,2,2,2,2,2,1,6,2,0,0
36,307,0,1,1,7,2,2,2,2,2,1,1,3,1,1
2,307,0,1,2,5,2,1,1,1,2,1,1,2,0,0
2,307,0,2,5,7,2,2,1,2,2,1,1,3,1,1
4,264,292,2,1,6,3,2,3,1,2,1,2,3,1,1
2,266,0,2,1,2,2,1,1,1,2,1,1,2,0,0
4,266,0,1,1,6,1,2,1,2,2,1,1,1,0,0
2,31,307,1,1,7,2,3,1,3,2,1,1,3,1,1
2,307,0,2,1,7,2,2,1,2,2,1,1,2,0,0
0,307,0,1,2,7,2,2,1,1,2,1,1,2,0,0
2,307,0,2,2,7,2,3,1,3,2,1,1,2,0,0
1,241,242,2,4,5,2,3,3,3,3,1,1,1,0,0
4,307,307,2,4,0,2,1,1,1,1,1,1,3,1,1
1,265,0,1,5,7,3,2,2,1,2,1,1,1,0,0
5,307,307,2,2,0,2,1,2,1,2,1,1,4,1,1
5,307,0,2,7,0,2,1,1,1,2,1,1,4,1,1
6,307,0,1,1,0,2,3,1,3,3,1,1,2,0,0
2,307,0,1,2,6,2,1,1,1,3,1,2,4,1,1
3,266,0,2,1,2,2,2,1,1,2,1,1,1,0,0
72,266,0,2,3,4,1,2,1,2,1,1,1,2,0,0
1,264,266,1,1,7,3,2,2,2,2,1,1,3,1,1
2,266,0,2,4,7,1,3,1,3,3,1,1,1,0,0
3,266,0,3,1,3,1,2,1,2,2,1,2,3,1,1
48,266,296,1,6,7,3,1,1,1,1,1,1,3,1,1
2,307,0,3,1,7,2,1,1,1,2,1,2,3,1,1
35,205,0,1,1,7,2,1,2,1,1,1,1,2,0,0
8,76,75,2,1,7,1,2,1,2,2,1,1,4,1,1
36,285,0,1,3,4,2,3,2,3,3,1,1,1,0,0
60,213,307,2,1,0,2,1,2,1,3,1,1,4,1,1
6,307,0,2,1,2,2,1,2,1,1,1,1,3,1,1
2,307,0,2,6,0,2,1,2,1,2,1,1,4,1,1
1,307,0,2,2,0,2,2,1,2,2,1,1,4,1,1
16,266,0,1,5,7,2,1,1,1,1,1,1,4,1,1
24,307,0,2,5,7,2,1,1,1,2,1,1,4,1,1
3,307,103,1,2,5,2,2,1,1,1,1,1,1,0,0
1,307,0,3,1,2,1,1,1,3,3,1,6,3,1,1
1,307,0,1,1,7,1,3,1,3,3,1,1,4,1,1
4,141,307,2,1,7,3,1,2,1,2,1,1,4,1,1
4,266,0,2,1,4,2,1,1,1,2,1,1,2,0,0
24,266,0,2,4,0,2,3,1,3,2,1,1,4,1,1
4,265,0,1,4,0,2,2,2,1,2,1,1,4,1,1
2,119,0,3,2,0,3,1,2,1,2,1,3,4,1,1
12,254,0,2,1,2,2,1,2,1,1,1,1,4,1,1
2,266,0,1,1,6,1,2,1,1,2,1,1,1,0,0
