Age,Breed1,Breed2,Gender,Color1,Color2,MaturitySize,Vaccinated,FurLength,Dewormed,Sterilized,Health,Quantity,AdoptionSpeed,AdoptionSpeedBinary
3,266,0,2,1,7,1,2,2,1,2,1,1,3,1
25,266,0,1,1,3,2,1,1,1,1,1,2,4,1
36,147,0,2,7,0,1,1,1,1,1,1,1,1,0
7,242,252,1,2,0,2,1,3,1,2,1,1,2,0
72,83,0,1,1,0,2,1,2,1,3,1,1,2,0
5,299,0,2,1,7,1,1,1,1,2,1,1,1,0
24,307,307,2,2,0,2,2,2,1,2,1,1,4,1
3,266,0,1,1,0,2,1,2,1,2,1,1,3,1
5,292,0,1,2,0,2,2,2,2,2,1,1,1,0
24,266,266,2,1,7,2,1,1,1,1,1,1,4,1
2,307,0,2,2,0,1,1,1,3,2,1,1,4,1
4,307,307,2,1,2,2,2,1,2,2,1,1,2,0
1,307,0,2,2,7,2,1,1,1,2,1,1,3,1
2,266,299,3,1,2,2,2,1,2,2,1,3,1,0
9,307,0,1,2,7,2,1,1,1,1,1,1,4,1
24,285,0,2,1,7,2,3,3,3,3,1,1,4,1
4,265,0,1,1,3,2,2,2,2,2,1,1,3,1
36,218,0,2,1,5,2,1,1,1,2,1,1,4,1
3,307,0,2,1,7,2,3,1,3,2,1,1,2,0
3,75,20,2,1,2,2,2,1,2,2,1,1,3,1
6,307,0,2,2,0,3,1,1,1,1,1,2,2,0
3,307,0,2,1,2,2,1,2,1,2,1,1,3,1
2,264,0,3,5,6,1,2,3,1,2,1,3,1,0
2,307,0,2,1,2,2,2,1,2,3,1,2,2,0
4,266,0,2,1,2,2,2,2,2,2,1,2,1,0
1,266,0,3,3,6,1,2,1,2,2,1,4,1,0
6,266,0,3,1,6,2,2,1,1,1,1,4,4,1
18,307,0,1,1,2,2,1,1,1,1,1,1,4,1
72,141,307,2,3,4,2,1,1,1,1,1,1,3,1
76,307,307,3,1,3,2,1,1,1,2,1,2,4,1
24,141,307,2,3,5,3,1,2,1,1,1,1,2,0
4,266,0,1,6,7,2,2,1,1,2,1,1,1,0
36,307,0,1,1,2,2,1,1,1,3,1,1,4,1
16,307,0,2,1,2,2,1,1,1,1,1,1,4,1
24,307,0,2,7,0,2,1,1,1,1,1,1,4,1
0,49,0,3,1,2,1,2,2,2,2,1,8,3,1
36,141,0,2,1,0,3,3,2,3,1,1,1,1,0
2,265,0,3,3,7,1,2,2,1,2,1,2,1,0
60,179,0,2,5,7,1,3,2,3,1,1,1,1,0
3,266,266,3,1,6,1,2,1,2,2,1,5,2,0
2,141,307,1,1,0,2,1,1,1,2,1,1,2,0
1,266,0,1,1,7,1,3,1,3,3,1,1,3,1
6,307,0,2,2,7,3,1,1,1,2,1,2,2,0
2,307,26,2,1,2,3,2,1,1,2,1,1,1,0
12,307,0,1,5,0,2,3,2,3,2,1,1,4,1
72,150,307,1,1,2,3,1,1,1,1,1,1,4,1
3,266,0,1,1,7,2,1,1,1,2,1,1,2,0
5,307,0,2,2,7,2,1,2,1,1,1,1,3,1
1,307,307,1,1,2,1,2,1,2,2,1,3,4,1
3,266,0,3,4,0,1,2,1,2,2,1,2,1,0
4,189,307,2,1,5,2,2,1,2,2,1,3,3,1
7,266,0,2,1,7,2,1,1,1,1,1,1,4,1
6,307,0,2,1,2,2,1,2,1,2,1,1,4,1
1,307,0,3,1,2,2,1,1,1,2,1,5,3,1
2,307,0,2,2,0,2,3,1,1,2,1,1,2,0
2,266,0,1,1,7,2,2,1,1,2,1,1,1,0
1,266,0,1,2,0,3,2,1,2,2,1,1,1,0
4,266,0,1,2,0,2,2,1,1,2,1,1,3,1
2,266,0,2,1,5,1,2,1,2,2,1,1,3,1
4,266,0,3,4,7,2,2,1,1,2,1,2,1,0
1,307,0,3,2,5,2,2,1,1,2,1,4,3,1
2,266,0,1,6,7,3,2,1,1,2,1,1,2,0
108,205,0,1,2,7,1,1,1,1,2,1,1,4,1
2,307,0,3,1,7,2,2,2,2,2,1,9,2,0
1,307,0,1,1,4,2,3,1,3,2,1,1,2,0
3,243,305,2,1,3,2,2,1,2,2,1,1,4,1
1,307,0,2,1,2,2,3,2,3,2,1,1,3,1
2,266,266,1,2,7,1,3,1,3,1,1,1,2,0
24,254,266,2,3,6,1,1,1,1,1,1,1,3,1
4,307,210,1,1,2,2,1,2,1,2,1,1,2,0
1,299,306,2,3,7,1,2,1,2,2,1,1,1,0
8,299,0,2,2,5,2,3,1,1,3,1,1,4,1
6,289,266,2,6,0,2,2,2,1,2,1,1,2,0
1,307,0,3,1,2,2,2,2,2,2,1,4,0,0
3,307,0,1,1,3,2,2,1,1,2,1,1,1,0
9,266,0,2,2,7,2,2,1,2,2,1,1,2,0
2,307,0,3,1,2,2,2,1,2,2,1,8,3,1
3,307,0,1,2,0,2,1,2,1,3,1,1,4,1
1,266,0,1,3,4,2,2,2,2,2,1,1,3,1
48,69,0,2,2,0,2,3,1,3,3,1,1,1,0
6,288,0,2,6,7,2,3,2,3,3,1,1,1,0
1,307,50,3,2,6,1,2,1,2,2,1,8,2,0
1,266,0,3,2,6,2,3,2,3,3,1,3,3,1
1,307,307,1,7,0,2,2,1,2,2,1,1,1,0
2,266,0,2,1,2,1,2,2,1,2,1,1,2,0
2,307,0,2,1,7,2,1,1,1,2,1,1,4,1
12,307,0,2,1,0,2,1,2,1,1,1,1,4,1
2,266,266,1,1,7,1,2,1,2,2,1,1,2,0
1,179,307,3,1,2,2,2,2,2,2,1,5,3,1
5,303,266,2,1,4,2,2,2,1,2,1,1,2,0
60,60,0,1,7,0,1,1,3,1,1,1,1,2,0
5,307,0,2,1,7,1,2,1,2,2,1,2,4,1
36,141,307,2,1,0,2,1,3,1,1,1,1,4,1
3,285,264,1,3,7,3,3,2,3,3,1,1,2,0
48,266,0,2,1,6,3,1,1,1,1,1,1,4,1
1,307,0,1,1,0,2,2,1,2,2,1,1,2,0
3,218,119,2,2,0,2,1,2,1,1,1,1,2,0
